state,city,date,company,carjacking_happened_via_the_app,driver_deceased,source,additional_sources
Illinois,Chicago,01/30/2021,Unclear,Yes,,https://chicago.cbslocal.com/2021/02/02/rideshare-drivers-teaming-up-to-fight-for-safety-improvements-to-prevent-carjackings/,
Illinois,Chicago,02/27/2021,Lyft,Unclear,,https://www.nbcchicago.com/news/local/rideshare-drivers-call-for-new-safety-protocols-after-man-left-partially-paralyzed-in-shooting/2457938/,"['https://www.nbcchicago.com/news/local/rideshare-driver-released-from-hospital-after-he-was-left-paralyzed-by-shooting/2507902/', 'https://www.gofundme.com/f/taking-care-of-marcus-like-he-cares-for-us']"
Illinois,Chicago,02/17/2021,Uber,Yes,,https://cwbchicago.com/2021/02/chomp-uber-driver-bit-chunk-out-of-would-be-carjackers-eyebrow-prosecutor-says.html,
Illinois,Chicago,02/21/2021,Uber,Yes,,https://home.chicagopolice.org/wp-content/uploads/26-Mar-21-Two-Offenders-Charged-with-Aggravated-Vehicular-Hijacking-_Jazzlyne-Russell-White-Juvenile.pdf,['https://chicago.cbslocal.com/2021/03/26/17-year-old-among-2-charged-in-carjacking-of-rideshare-driver/']
Illinois,Chicago,03/03/2021,Lyft,Yes,,https://www.nydailynews.com/news/crime/ny-chicago-lyft-driver-shot-carjacking-20210304-lcrrnoqabbbqlnp7pgkwb5rury-story.html,['https://wgntv.com/news/chicago-news/police-rideshare-driver-shot-by-passenger-during-attempted-carjacking-in-west-garfield-park/']
Illinois,Chicago,03/06/2021,Unclear,Unclear,,https://home.chicagopolice.org/wp-content/uploads/18-Mar-21-Juvenile-Charged-with-Aggravated-Vehicular-Hijacking.pdf,['https://chicago.suntimes.com/crime/2021/3/19/22339554/teen-boy-charged-carjacking-rideshare-driver-police-chase-indiana']
Illinois,Chicago,03/09/2021,Uber,Yes,,https://home.chicagopolice.org/wp-content/uploads/16-Mar-21-Two-Offenders-Charged-with-Robbery-and-Vehicular-Hijacking_Sakeena-Austin-Gregory-White.pdf,
Illinois,Chicago,03/10/2021,Lyft,Yes,,https://www.gofundme.com/f/help-phillip-sanchez-recover-from-carjacking?qid=43b4cc1714a8f07a368495ef45c82dc9,"['https://www.pantagraph.com/news/state-and-regional/crime-and-courts/carjacking-victims-fears-are-realized-as-chicago-fights-to-control-the-crime/article_5bea04f9-80d2-5b01-bdcd-aaa7474964c6.html', 'https://abc7chicago.com/lyft-driver-carjacked-after-telling-couple-not-to-vape-in-his-car/10423922/']"
Illinois,Chicago,03/23/2021,Uber,Yes,Yes,https://www.justice.gov/usao-ndil/pr/man-charged-federal-court-carjacking-and-murdering-chicago-rideshare-driver,"['https://rogersedgereporter.com/2021/05/18/the-drive-for-safety-how-chicago-citizens-are-working-together-to-reduce-carjackings/', 'https://www.chicagotribune.com/news/breaking/ct-man-arrested-in-uber-shooting-20210626-jwuh6qsrcfcmdd6jl52jhjovte-story.html', 'https://chicago.suntimes.com/crime/2021/6/25/22551007/javier-ramos-edmond-harris-carjacking-rideshare-driver-uber-lyft-federal-charges', 'https://wgntv.com/news/chicagocrime/feds-charge-man-with-carjacking-killing-chicago-uber-driver/', 'https://www.chicagotribune.com/suburbs/franklin-park/ct-20210327-5d7hhu3shrgavejkdwhxvzrmde-story.html']"
Illinois,Chicago,05/21/2021,Unclear,Yes,,https://home.chicagopolice.org/cpd-business-alert-robberies-10th-district-ogden/,
Illinois,Chicago,05/24/2021,Unclear,Yes,,https://home.chicagopolice.org/cpd-business-alert-robberies-10th-district-ogden/,
Illinois,Chicago,06/06/2021,Unclear,No,,https://home.chicagopolice.org/wp-content/uploads/25-Jun-21-Juvenile-Charged-with-Aggravated-Vehicular-Hijacking-_10200-block-of-S.-Oakley.pdf,"['https://www.beverlyreview.net/news/community_news/article_997b2824-d8fb-11eb-bdf5-4340a97af6da.html', 'https://chicago.cbslocal.com/2021/06/06/mount-greenwood-beverly-carjackings/', 'https://www.nbcchicago.com/news/local/chicago-police-investigating-5-carjackings-in-24-hour-span/2526569/']"
Illinois,Chicago,06/24/2021,Uber,No,,https://www.nbcchicago.com/news/local/i-was-lucky-chicago-uber-driver-recounts-moment-armed-carjackers-stole-suv/2543040/,
Illinois,Cicero (Chicago area),05/11/2021,Uber,Unclear,,https://chicago.cbslocal.com/2021/06/01/uber-driver-shot-cicero/,['https://chicago.cbslocal.com/2021/06/01/cicero-carjacking-fatal-shooting-rideshare-driver-danger/']
Illinois,Cicero (Chicago area),05/29/2021,Uber,Yes,Yes,https://chicago.cbslocal.com/2021/06/01/uber-driver-shot-cicero/,"['https://qconline.com/news/state-and-regional/watch-now-vigil-held-for-uber-driver-killed-in-illinois/article_186c7d36-9422-507e-8042-af89898c45b4.html', 'https://www.nbcchicago.com/news/local/rideshare-murder-victims-family-demands-change/2530770/', 'https://herald-review.com/news/state-and-regional/watch-now-vigil-held-for-uber-driver-killed-in-illinois/article_825263f9-f8d7-5d15-8f50-d023219b2471.html', 'https://chicago.suntimes.com/crime/2021/6/1/22463476/uber-cicero-shooting', 'https://chicago.cbslocal.com/2021/06/01/cicero-carjacking-fatal-shooting-rideshare-driver-danger/', 'https://www.gofundme.com/f/fundraiser-for-joe-schelstraete', 'https://www.fox32chicago.com/news/rideshare-drivers-speak-out-after-man-is-killed-while-responding-to-pickup-request-in-cicero', 'https://www.wandtv.com/news/uber-driver-shot-killed-in-attempted-cicero-carjacking-minor-arrested/article_32e75030-c4a9-11eb-b74c-7b79418c44c6.html', 'https://www.audacy.com/wbbm780/news/local/aunt-of-slain-ride-share-driver-blood-on-ubers-hands', 'https://www.nbcnews.com/news/us-news/boy-arrested-three-other-people-large-after-uber-driver-killed-n1269515']"
Illinois,Lawndale (Chicago area),03/06/2021,Unclear,Unclear,,https://chicago.cbslocal.com/2021/03/06/rideshare-driver-carjacked-lawndale/,
Illinois,Oak Park (Chicago area),06/21/2021,Uber,Yes,,https://patch.com/illinois/oakpark/uber-driver-carjacked-while-picking-customer-police-said,['https://www.oakpark.com/2021/06/28/uber-driver-carjacked-on-highland-police-reports-june-21-25/']
Illinois,Rockford,05/14/2021,Lyft,Unclear,,https://www.wifr.com/2021/05/17/rockford-teens-charged-with-carjacking-lyft-driver/,
Illinois,Woodstock,06/03/2021,Uber,Yes,,https://www.lakemchenryscanner.com/2021/06/04/two-charged-after-armed-suspects-threaten-uber-driver-in-woodstock/,
Louisiana,New Orleans,05/29/2021,Uber,Yes,,https://www.fox8live.com/2021/06/02/uber-driver-has-car-stolen-by-passenger-in-new-orleans-east/,
Massachusetts,Boston,01/04/2021,Lyft,Unclear,,https://whdh.com/news/police-lyft-driver-carjacked-in-south-boston/,
Massachusetts,Boston,01/13/2021,Lyft,Yes,,https://boston.cbslocal.com/2021/01/13/seaport-boston-armed-carjacking-lyft-state-police/,"['https://mspnews.org/2021/03/02/state-police-boston-police-arrest-man-wanted-for-numerous-violent-boston-car-jackings-after-lengthy-investigation/', 'https://www.boston25news.com/news/local/police-searching-two-men-accused-carjacking-lyft-driver-seaport/YEELD6OJKJFCXKJT4DFEE2OK7Q/']"
Massachusetts,Boston,02/2021,Unclear,Yes,,https://www.boston.com/news/crime/2021/03/03/boston-carjackings-arrest,['https://mspnews.org/2021/03/02/state-police-boston-police-arrest-man-wanted-for-numerous-violent-boston-car-jackings-after-lengthy-investigation/']
Massachusetts,Boston,02/2021,Unclear,Yes,,https://mspnews.org/2021/03/02/state-police-boston-police-arrest-man-wanted-for-numerous-violent-boston-car-jackings-after-lengthy-investigation/,['https://www.boston.com/news/crime/2021/03/03/boston-carjackings-arrest']
Massachusetts,Boston,02/2021,Unclear,Yes,,https://mspnews.org/2021/03/02/state-police-boston-police-arrest-man-wanted-for-numerous-violent-boston-car-jackings-after-lengthy-investigation/,['https://www.boston.com/news/crime/2021/03/03/boston-carjackings-arrest ']
Maryland,Glen Burnie (Baltimore area),02/20/2021,DoorDash,No,,https://foxbaltimore.com/news/local/doordash-driver-escapes-attempted-carjacking-in-glen-burnie,
Maryland,Baltimore,05/22/2021,Grubhub,Unclear,,https://www.wmar2news.com/news/local-news/baltimore-county-man-calls-on-grubhub-to-better-protect-its-drivers-after-he-believes-he-was-setup-during-carjacking,
Michigan,Detroit,01/21/2021,Uber,Yes,Yes,https://www.wilx.com/2021/01/31/teens-charged-in-uber-drivers-death/ ,"['https://apnews.com/article/carjacking-detroit-robbery-fe8fc9fdc3232e8535462dac278be66d', 'https://www.clickondetroit.com/news/local/2021/01/29/2-detroit-teens-charged-with-murdering-uber-driver-who-was-attacked-with-hammer-knife-police-say/']"
Minnesota,Minneapolis,07/07/2020,Lyft,No,,https://www.documentcloud.org/documents/21013756-minneapolis-07_07_2020_redacted,
Minnesota,Minneapolis,10/27/2020,Lyft,No,,https://www.documentcloud.org/documents/21013758-minneapolis-10_27_2020_redacted,
Minnesota,Minneapolis,04/12/2021,Lyft,Unclear,Yes,https://sahanjournal.com/news/minneapolis-somali-ride-share-driver-killed/,"['https://www.gofundme.com/f/support-for-the-family-of-ahmed-badal?qid=abfe3351e74976da31adde1f88f547db&utm_campaign=p_cp_url&utm_medium=os&utm_source=custome', 'https://spokesman-recorder.com/2021/06/04/unsolved-shooting-deaths-leave-family-and-friends-distraught/']"
Missouri,St. Louis,09/15/2020,Uber,Unclear,,https://fox2now.com/news/missouri/21-year-old-uber-driver-carjacked-on-cherokee-st/,['https://www.ksdk.com/article/news/crime/uber-driver-carjacked-south-st-louis/63-754ef211-d90e-4414-8c7b-8f541cbea920']
Missouri,St. Louis,12/12/2020,Lyft,Unclear,,https://www.12news.com/video/news/crime/attempted-carjacking-of-lyft-driver-is-among-thousands-of-unprosecuted-cases/63-60fbe048-6776-46bf-bd8c-912020cebfb3,
Missouri,St. Louis,02/14/2021,Uber Eats,No,,https://www.ksdk.com/article/news/crime/delivery-driver-carjacked-st-louis/63-c3f3834b-3636-40fa-a9b3-6a73bcb708da,
Missouri,St. Louis,02/24/2021,DoorDash,Yes,,https://www.riverfronttimes.com/newsblog/2021/02/25/doordash-carjacking-3-arrested-cops-injured-in-car-chase-crash,
Missouri,St. Louis,02/25/2021,Uber,Unclear,,https://www.kmov.com/news/uber-driver-received-19-stitches-after-being-pistol-whipped-during-a-carjacking/article_0635744c-76ff-11eb-b9af-8b0ab40b42da.html?block_id=680478,
Missouri,St. Louis,04/15/2021,Lyft,Yes,Yes,https://www.documentcloud.org/documents/21013760-st-louis-04_15_2021-probable-cause-statement_redacted,"['https://www.baucomspreciousmemories.com/obituary/MrElijah-Newman', 'https://www.gofundme.com/f/elijah-newman-funeral-costs?utm_source=customer&utm_medium=copy_link&utm_campaign=p_cf+share-flow-1', 'https://www.kmov.com/news/lyft-driver-45-dead-after-late-night-north-city-shooting/article_145515e8-9e9e-11eb-8465-03effbb09d2f.html', 'https://apnews.com/article/carjacking-shootings-st-louis-crime-9e47bd68ced76be89b85010352fcd16d', 'https://www.ksdk.com/article/news/crime/lyft-driver-found-fatally-shot-police-seek-publics-help-in-murder-investigation/63-02c14c0f-9126-49fa-b970-3099d7c5cbb0']"
New York,Queens,10/23/2020,Uber,No,,https://pix11.com/news/local-news/queens/members-of-queens-mosque-detain-teen-carjacker-who-assaulted-cabbie-police/,['https://newyork.cbslocal.com/2020/10/23/queens-uber-carjacking/']
New York,Bronx,11/27/2020,Uber,No,,https://www.audacy.com/wcbs880/news/local/uber-driver-carjacked-waiting-for-passenger-in-the-bronx,
New York,New York,03/29/2021,DoorDash,No,Yes,https://ny.eater.com/2021/4/2/22364128/manhattan-delivery-worker-death-third-party-app-doordash,"['https://patch.com/new-york/harlem/victim-harlem-shooting-was-food-delivery-bicyclist-report', 'https://www.gofundme.com/f/francisco-villalva-deliveristas-funeral-expense?utm_campaign=p_cf+share-flow-1&utm_medium=chat&utm_source=whatsapp']"
Ohio,Akron (Cleveland area),4/17/2021,DoorDash,No,,https://www.cleveland19.com/2021/04/22/two-akron-doordash-drivers-carjacked-police-believe-crimes-likely-connected-string-carjackings-cleveland/,
Ohio,Akron (Cleveland area),4/19/2021,DoorDash,No,,https://www.cleveland19.com/2021/04/22/two-akron-doordash-drivers-carjacked-police-believe-crimes-likely-connected-string-carjackings-cleveland/,
Ohio,Akron (Cleveland area),5/2/2021,Lyft,Yes,Yes,https://www.beaconjournal.com/story/news/crime/2021/05/04/lyft-driver-kris-roukey-akron-shooting-remembered-loving-father-hudson-outlaws-avid-fan-kahlyl-powe/4936407001/,"['https://www.cleveland19.com/2021/05/04/akron-man-pleads-not-guilty-murder-hudson-area-lyft-driver/', 'https://www.beaconjournal.com/story/news/crime/2021/05/03/man-shot-and-killed-near-akron-intersection-middlebury-east-market-buchtel/4919456001/', 'https://www.gofundme.com/f/Kris-roukey-family-shattered?utm_campaign=p_cp+share-sheet&utm_medium=copy_link_all&utm_source=customer']"
Ohio,Cleveland,05/31/2020,Lyft,Yes,,https://www.documentcloud.org/documents/21013751-cleveland-05_31_2020_redacted,
Ohio,Cleveland,01/10/2021,Lyft,Yes,,https://www.documentcloud.org/documents/21013745-cleveland-01_10_2021_redacted,"['https://www.fox19.com/2021/01/13/cleveland-lyft-driver-fired-admitting-firing-legally-owned-gun-during-attempted-carjacking/', 'https://www.gofundme.com/f/cynthias-carjacking?qid=3a76b16f5c22e390e6e2f56a6d0e5d1f', 'https://www.cleveland19.com/2021/02/04/third-cleveland-area-female-rideshare-driver-violently-attacked-by-passengers-less-than-month/']"
Ohio,Cleveland,01/15/2021,Uber  ,Yes,,https://www.cleveland19.com/2021/01/19/garfield-heights-uber-driver-violently-attacked-by-passengers-carjacking/,"['https://www.cleveland19.com/2021/02/04/third-cleveland-area-female-rideshare-driver-violently-attacked-by-passengers-less-than-month/', 'https://fox8.com/news/never-again-second-rideshare-driver-violently-attacked-in-garfield-heights/']"
Ohio,Cleveland,1/30/2021,Lyft,Yes,,https://www.cleveland19.com/2021/02/04/third-cleveland-area-female-rideshare-driver-violently-attacked-by-passengers-less-than-month/,
Ohio,Cleveland,02/28/2021,Uber  ,Yes,,https://www.documentcloud.org/documents/21013746-cleveland-02_28_2021_redacted,
Ohio,Cleveland,04/13/2021,Lyft,Yes,,https://www.documentcloud.org/documents/21013749-cleveland-04_13_2021_redacted,"['https://fox8.com/news/two-teens-carjack-lyft-driver-in-cleveland/', 'https://www.cleveland19.com/2021/04/15/cleveland-area-rideshare-drivers-afraid-get-behind-wheel-after-least-drivers-carjacked/']"
Ohio,Cleveland,07/07/2021,Uber Eats,No,,https://www.cleveland19.com/2021/07/08/uber-eats-driver-carjacked-gunpoint-cleveland-heights/,
Ohio,Columbus,04/11/2021,Lyft,Yes,,https://www.documentcloud.org/documents/21013754-columbus-04_11_2021_redacted,"['https://abc6onyourside.com/news/local/central-ohio-community-steps-up-to-help-73-year-old-carjacking-victim-4-15-2021', 'https://www.columbuspolice.org/Reports/PublicReport?caseID=4438063', 'https://abc6onyourside.com/news/local/carjacking-survivor-on-the-mend-after-terrifying-ordeal', 'https://www.gofundme.com/f/help-sharon-mclendon-after-being-carjacked?utm_source=facebook&utm_medium=social&utm_campaign=p_cf+share-flow-1', 'https://abc6onyourside.com/news/local/police-group-juveniles-steal-lyft-drivers-vehicle-crash-school-bus-4-13-2021', 'https://www.cleveland.com/crime/2021/04/juveniles-ignore-73-year-old-ohio-lyft-drivers-pleas-pull-her-from-car-steal-vehicle.html']"
Ohio,Maple Heights (Cleveland area),03/24/2021,Lyft,Yes,,https://www.cleveland.com/crime/2021/03/armed-men-pistol-whipped-carjacked-lyft-driver-in-maple-heights-police-say.html,
Ohio,Parma (Cleveland area),02/07/2021,Uber  ,Yes,,https://www.wkyc.com/article/news/crime/uber-driver-carjacked-sunday-morning-in-parma/95-6915b484-d899-413b-ba0c-cc5d20add6e9,
